text,emotion
I feel afraid when I try to sleep,fear
I feel frightened by my thoughts about my future,fear
I'm scared that I will be alone,fear
I'm scared because my exams,fear
I feel fear on weekends,fear
I feel terrified and my throat feels weak,fear
I feel scared that I will disappoint everyone,fear
I feel frightened by my thoughts about my health,fear
I feel frightened by my thoughts about social situations,fear
I feel scared that I will panic again,fear
I'm scared because everything happening at once,fear
I'm afraid that I won't be good enough,fear
I feel scared when I think about tomorrow,fear
I feel fear in the mornings,fear
I feel scared that I will fail,fear
I feel terrified and my chest feels tight,fear
I feel frightened by my thoughts about my exams,fear
I'm scared because what people think of me,fear
I'm afraid that I will lose my job,fear
I feel terrified and my hands feels weak,fear
I feel terrified and my hands feels tense,fear
I feel terrified and my head feels tense,fear
I feel afraid when I open my messages,fear
